cell_id,class,model,raw_circularity_ae,closing_circularity_ae,dual_null_circularity_ae,benefit_closing,benefit_null,specific_advantage,raw_nucleus_dice,closing_nucleus_dice,dual_null_nucleus_dice,raw_foreground_dice,closing_foreground_dice,dual_null_foreground_dice,raw_nc_ae,closing_nc_ae,dual_null_nc_ae,raw_area_ae,closing_area_ae,dual_null_area_ae,raw_invalid,closing_invalid,dual_null_invalid,raw_pred_circularity,gt_circularity,roundness_group
153830680-153830827-002,severe_dysplastic,baseline,0.03188387848286356,0.01365508256432324,0.013380482119818349,0.01868513764401114,0.01918186641912345,-0.00027460044450489107,0.9729194187582563,0.9722772277227723,0.9726072607260726,0.8014732980710407,0.8011275425274638,0.8017768801032755,0.8748483523638106,0.8946075122958379,0.8946075122958379,40.0,44.0,44.0,0.0,0.0,0.0,0.784272699913847,0.8161565783967105,under_circular
153831352-153831372-004,severe_dysplastic,baseline,0.18826109462712676,0.16407694962435432,0.1636980986622928,0.02418414500277244,0.024562995964833967,9.004133056744745e-05,0.8153103750822549,0.817684394834756,0.8179032611074634,0.696523632803317,0.6985928899381536,0.6988869952813401,1.682024611778494,1.670447849145551,1.670447849145551,1640.0,1620.0,1620.0,0.0,0.0,0.0,0.4270828078043227,0.6153439024314494,under_circular
153915432-153915441-002,severe_dysplastic,baseline,0.15576020840485938,0.13917965717389758,0.13884866024044695,0.010839004711254874,0.011088988208778128,-0.00025270172781788336,0.8631301289566237,0.8622456448543405,0.8622456448543405,0.8088377917510391,0.807532875860774,0.807532875860774,1.0004329004329002,1.0109260734197378,1.0109260734197378,928.0,935.0,935.0,0.0,0.0,0.0,0.5926130628438463,0.7483732712487057,under_circular
153915432-153915472-001,severe_dysplastic,baseline,0.1814741419532505,0.1374842242833838,0.13962998268211557,0.0365833932938045,0.03440176034468406,0.0021457583987317674,0.8233799237611181,0.821061523300014,0.821061523300014,0.789215331957833,0.786894906785722,0.7869881816667965,0.5369840533453851,0.5464211620339188,0.5464211620339188,1245.0,1265.0,1265.0,0.0,0.0,0.0,0.5675521728786029,0.7490263148318534,under_circular
153915726-153915736-001,severe_dysplastic,baseline,0.10481114442966744,0.08636390699895491,0.0863639094336921,0.039407212092202215,0.041283847911953386,-0.0008671301441529611,0.8359255202628697,0.8356254092992796,0.8343156516044532,0.770777316157376,0.7705378613967916,0.7698065907375626,0.4765982687352871,0.4808043342141849,0.4808043342141849,772.0,777.0,777.0,0.0,0.0,0.0,0.5575895894429933,0.6624007338726607,under_circular
153916114-153916129-002,severe_dysplastic,baseline,0.3440803613746097,0.29601997491665094,0.2975709578770296,0.0502657381226409,0.047603317347943985,0.0026624207746969164,0.8434992996307143,0.8401166476480284,0.8398630658044884,0.8188403026567525,0.816165821429016,0.816039030507246,0.2822110913982341,0.28882788776612134,0.28882788776612134,1227.0,1261.0,1261.0,0.0,0.0,0.0,0.3792355744651456,0.7233159358397553,under_circular
153916114-153916150-001,carcinoma_in_situ,baseline,0.07793635448432734,0.1028107704361515,0.10426823052661349,-0.024483373926980856,-0.024994377500799803,0.0014574600904619928,0.961798574300859,0.96147526017893,0.9607449333576775,0.8711626446507656,0.8714296849120209,0.8714296849120209,0.057239206419534394,0.06246171840819992,0.06246171840819992,135.0,129.0,129.0,0.0,0.0,0.0,0.6790544809605874,0.6011181264762601,over_circular
153916114-153916167-001,carcinoma_in_situ,baseline,0.3542210651495126,0.3670074020134057,0.36850720890394645,-0.012786336863893077,-0.014286143754433822,0.0014998068905407447,0.8849557522123894,0.8848375451263538,0.884115523465704,0.787807328342236,0.7874929251055498,0.7866022532582757,0.6321192918775091,0.637272047890167,0.637272047890167,461.0,464.0,464.0,0.0,0.0,0.0,0.7263433304375616,0.372122265288049,over_circular
153916569-153916586-001,carcinoma_in_situ,baseline,0.17226352984266602,0.2089719000012742,0.2092895622611658,-0.03588870458533755,-0.03510205833628455,0.00031766225989160457,0.834941050375134,0.8334669874365143,0.8340016038492382,0.7629357438550164,0.760759391305073,0.761320990270705,0.9566155138189035,0.9766772422139652,0.9766772422139652,484.0,493.0,493.0,0.0,0.0,0.0,0.6035383670373974,0.43127483719473136,over_circular
153956040-153956058-001,normal_columnar,baseline,0.04963274116156813,0.005091220770219285,0.005658072515088319,0.04454152039134884,0.04412541202969644,0.00041610836165240084,0.9838445328962773,0.9855140186915888,0.9847504621072088,0.8321389649822368,0.8332368459971471,0.8328755850066552,0.3554201968744059,0.36130892080168214,0.36130892080168214,41.0,32.0,32.0,0.0,0.0,0.0,0.7972483309364187,0.8468810720979868,under_circular
