cell_id,circ_change_diff
209048086-209048239-001,0.01007359251706175
209307421-209307504-001,0.01410292127544165
209307421-209307561-001,0.0049295856455377
209522316-209522391-001,0.13878224176444956
209522474-209522522-001,0.03374042893755824
209522940-209522970-001,0.0059280423584870505
209522940-209522991-001,0.02708551720695765
209522940-209523052-001,0.025960706118238648
209565409-209565503-001,0.0105297592697591
209565409-209565600-001,0.0159490131426382
209565864-209565890-001,0.0179862219205629
209565864-209565911-001,-0.0034137476691194994
209565864-209565950-001,0.061007114283358505
209566047-209566095-001,0.0160679032483263
209566047-209566125-001,-0.0955982213567164
209566205-209566247-001,0.012334865269681802
209566205-209566289-001,0.009322842196083099
209566205-209566333-001,0.028945173336111997
209566399-209566464-001,0.0389522410942357
209566399-209566485-001,0.0097061367400199
209566399-209566517-001,-0.0028956846623071006
