cell_id,cf_severity,shape_perturbation,shape_severity,cf_dice,shape_dice,absolute_dice_difference,cf_abs_circ_change,shape_abs_circ_change,circ_change_diff,cf_abs_nc_change,shape_abs_nc_change,cf_perimeter_change
149185497-149185527-003,high,dilation,r1,0.9796195652173914,0.973705969902431,0.005913595314960385,0.0267734680591331,0.0414935835828125,-0.0147201155236794,0.0,1.2096979591836736,-3.7573593854904175
149185604-149185657-001,high,dilation,r1,0.9759615384615384,0.9663182346109176,0.009643303850620843,0.0282479346532901,0.0208010581420392,0.007446876511250901,0.0,0.7702716654918671,4.242640614509583
149186957-149186968-001,high,dilation,r1,0.9792746113989638,0.9691998660863744,0.01007474531258934,0.0042841963914387,0.0126176494332669,-0.0083334530418282,0.0,0.0389893665265554,0.5857862234115601
149187049-149187100-002,high,dilation,r1,0.967373572593801,0.9761146496815286,0.008741077087727644,0.0471099737530803,0.0073320111982009,0.0397779625548794,0.0,0.2988719467061436,8.727921843528748
149314453-149314465-001,high,dilation,r1,0.9743150684931506,0.9674880927728308,0.006826975720319872,0.0073018132297568,0.0052704455283962,0.0020313677013606,0.0,0.1234634494364409,0.828427791595459
149314453-149314507-001,medium,dilation,r1,0.974025974025974,0.9545454545454546,0.01948051948051943,0.0107492140232747,0.0247569551863813,-0.0140077411631066,0.0,0.6586983759572018,0.8284270763397217
149314453-149314507-002,medium,dilation,r1,0.9761146496815286,0.9515151515151516,0.024599498166376965,0.0085589685798597,0.0167858355368351,-0.0082268669569754,0.0,0.0520072438268691,0.8284269571304321
149314453-149314507-003,medium,dilation,r1,0.9760383386581468,0.9571865443425076,0.018851794315639214,0.0088646602331143,0.0137923437840323,-0.004927683550917999,0.0,0.1559837121797844,-0.8284268379211426
149315671-149315740-001,high,dilation,r1,0.976780185758514,0.9665232840845334,0.010256901673980634,0.0148863481186117,0.0244772800776599,-0.0095909319590482,0.0,0.7983709695539827,2.8284274339675903
149315671-149315740-003,high,dilation,r1,0.9793317258008956,0.9715528781793842,0.0077788476215113755,0.0094961083840873,0.0438212258921267,-0.0343251175080394,0.0,0.9026112185686652,-1.414214015007019
149315671-149315740-004,high,dilation,r1,0.9667957941339236,0.9733369243199568,0.006541130186033195,7.932866585846908e-10,0.0158102685923878,-0.015810267799101142,0.0,0.7211998923863332,-1.1920928955078125e-07
149315775-149315790-001,high,dilation,r1,0.9745654938533276,0.9620717781402937,0.012493715713033926,0.0136865413156216,0.0200130432968541,-0.0063265019812325015,0.0,0.2264495272525029,2.242640972137451
149316025-149316032-001,high,dilation,r1,0.9731182795698924,0.9660246699848518,0.007093609585040572,0.0129132465332617,0.0194979009809739,-0.006584654447712201,0.0,0.300777487022051,1.6568539142608645
149316426-149316462-004,high,dilation,r1,0.9620253164556962,0.9584470730967546,0.003578243358941635,0.009846933540443,0.0321703229807952,-0.022323389440352205,0.0,0.2923528558449193,1.6568551063537598
149316754-149316779-002,high,dilation,r1,0.9751861042183624,0.9660407510986816,0.009145353119680788,0.0195095230282429,0.0085824279434852,0.010927095084757699,0.0,0.0551659853213368,2.242640495300293
149316754-149316795-002,high,dilation,r1,0.9683042789223456,0.9604261796042618,0.007878099318083809,0.0013566822128521,0.0347515806171339,-0.033394898404281795,0.0,0.7303208566200277,-0.1005055904388427
149317002-149317010-002,high,dilation,r1,0.962382445141066,0.9602649006622516,0.0021175444788144038,0.0071271743096282,0.0100314013881207,-0.0029042270784924995,0.0,0.2669287232193222,0.8284274339675903
149317114-149317152-001,high,dilation,r1,0.9700598802395208,0.9641568438777964,0.005903036361724401,0.0136542041293539,0.0265637504392097,-0.0129095463098558,0.0,0.485198436431989,1.4142131805419922
149317204-149317230-002,high,dilation,r1,0.9730215827338128,0.9580012922679302,0.015020290465882602,0.0018741748850905,0.0200268525736361,-0.0181526776885456,0.0,0.1961450968504818,-0.3431458473205566
149357849-149357857-003,high,dilation,r1,0.9765074393108848,0.9665089877010408,0.009998451609844028,0.0057237385492902,0.0233287297225356,-0.0176049911732454,0.0,0.0460281416891475,0.8284264802932739
153314857-153314909-001,high,dilation,r1,0.9746728577458844,0.9635956884279032,0.011077169317981195,7.71495867191163e-10,0.0179947954813876,-0.017994794709891734,0.0,0.2903573135419302,1.1920928955078125e-07
153315615-153315629-001,medium,dilation,r1,0.9797434166103984,0.9561007101355712,0.023642706474827246,4.6067164527485716e-09,0.0139699710759146,-0.013969966469198148,0.0,0.0989796363953945,4.76837158203125e-07
153315615-153315629-001,high,erosion,r1,0.9594868332207968,0.953356890459364,0.0061299427614327495,0.1250938302352375,0.0160615016477424,0.10903232858749512,0.0,0.0857740483376088,14.485281705856323
153654325-153654351-001,high,dilation,r1,0.9735333039258932,0.9673565180285896,0.006176785897303638,0.0067222724427482,0.0292936679457805,-0.0225713955030323,0.0,0.2932682558118098,-0.828426718711853
153654325-153654351-003,high,dilation,r1,0.9762845849802372,0.9725158562367864,0.0037687287434508,0.0159980061336726,0.0590056042963301,-0.04300759816265751,0.0,0.222531847133758,-2.242639899253845
153655016-153655039-005,high,dilation,r1,0.9697275479313824,0.97252208047105,0.00279453253966766,0.0039282140289987,0.0054531552622064,-0.0015249412332076998,0.0,0.188139470186393,-0.3431456089019775
153655087-153655101-002,high,dilation,r1,0.9691358024691358,0.9623762376237625,0.006759564845373323,0.0076997986710347,0.0098210676046921,-0.0021212689336573996,0.0,0.1540235024840178,0.8284269571304321
153659229-153659243-001,high,dilation,r1,0.9714285714285714,0.958029197080292,0.013399374348279425,0.0042858136889254,0.0449491674249264,-0.040663353736000996,0.0,0.0813496758460913,0.8284270763397217
153659229-153659256-003,high,dilation,r1,0.9771949828962372,0.9715657311669128,0.0056292517293243804,0.049906269844805,0.0167471873707264,0.0331590824740786,0.0,0.1809556750265017,9.556349158287048
153697342-153697375-001,high,dilation,r1,0.9767351686700272,0.9662795054327464,0.010455663237280755,0.0123138908191319,0.0261929428227761,-0.0138790520036442,0.0,0.2540870686674525,-1.514718532562256
153697342-153697384-001,high,dilation,r1,0.9759711653984782,0.96577064397602,0.010200521422458197,1.8759044317917532e-09,0.01536332073534,-0.015363318859435569,0.0,0.1062736023612392,-2.384185791015625e-07
