cell_id,benefit_area,benefit_perimeter,benefit_full,benefit_perimeter_minus_area
149788987-149788996-003,-0.004677412774806822,-0.07031529457980312,-0.07544611065120199,-0.0656378818049963
153268807-153268826-001,0.007593011152717155,0.11098835443749688,0.11957734913252671,0.10362558516201359
153276386-153276405-001,-0.0006426190725962178,-0.007801608416495021,-0.008450489649693083,-0.007158989343898803
153276386-153276405-002,0.0027158440531280803,0.028245288511321853,0.03136776957287696,0.025366301316243567
153276386-153276414-001,0.0,0.0,0.0,0.0
153314466-153314473-003,0.010991118893517005,0.11518108431444518,0.10103714667169061,0.10329324667866979
153654869-153654880-001,-0.004280281414592801,-0.033614539397628485,-0.03816781382303036,-0.029334257983035683
153655016-153655039-005,0.0014966451116559254,0.010903389229463656,0.0124223773518356,0.00940674411780773
153655087-153655101-002,0.002870609494291909,0.02129566546569417,0.024031043502066307,0.018635893342217935
153656862-153656873-001,0.004876154267310584,0.0610499244478816,0.06633183081442895,0.05617054505571584
153657121-153657160-001,-0.0009410319113248855,-0.011417177862871775,-0.012371848560307153,-0.010476145949716464
153659229-153659264-001,0.000662472047221141,0.007677368832123221,0.008346396196406092,0.0070148967849020805
153697342-153697375-001,-0.0014628857671760143,-0.01415077927465136,-0.01567122325659054,-0.012657670989958847
153697342-153697384-001,-0.0005068146637793314,-0.004890534413645953,-0.005414439200907339,-0.004369850615021487
153697726-153697736-001,0.0062977459064752495,0.07075938758119715,0.06490694218077142,0.06563296002672614
153701009-153701019-002,0.002039546234966938,0.02750453373072148,0.029636843991761697,0.025464987495754543
153701622-153701650-001,-0.000874093549964261,-0.010432506548573306,-0.011318805032755397,-0.009558412998609045
153701949-153701958-001,-0.0033571529237746978,-0.05408294297703742,-0.05771234723181917,-0.05072579005326272
153702037-153702051-003,0.0022891507640249165,0.02727476962396924,0.02967432163504513,0.024985618859944325
153826963-153826970-001,-0.0026467332546046274,-0.03146211931338316,-0.03423552441222888,-0.028815386058778536
153826963-153826982-003,0.0009163144355844866,0.008676767062234192,0.009611694512610736,0.007760452626649705
153827595-153827657-002,-0.0005545391922662235,-0.004971161763154597,-0.0055292416689273205,-0.004416622570888373
153828877-153828902-002,-0.0009186330821636668,-0.01044350871319144,-0.011375294828998905,-0.009524875631027774
153828952-153828970-001,0.0016149033494472498,0.019475754693202174,0.02113054013417137,0.017860851343754924
153828952-153829005-001,0.0016570825997602734,-0.0011755253498519913,-0.0032695750559621484,-0.003186089941721315
153828952-153829005-002,0.0006397412998148111,0.0066834343114052785,0.007329395652459159,0.0060436930115904675
153829664-153829672-001,0.007740860730300003,0.003510071924562541,-0.005680335217120858,-0.004230788805737462
153829745-153829768-001,0.024356837318947222,0.06471335248423371,0.07194733989057966,0.05319423148727259
153829745-153829768-003,0.002019073175436037,0.014810624548205142,0.015946850279132563,0.013697161047628414
153830680-153830827-002,0.0015756357607511484,0.01707519711757932,0.01868513764401114,0.015499561356828173
153831352-153831372-004,0.0024721618464284,0.022225137085531144,0.02418414500277244,0.020363032016342097
153915432-153915441-002,0.0009203474029095826,0.00990157580896256,0.010839004711254985,0.008981228406052977
153915432-153915472-001,0.0030658203584006394,0.03334320387622297,0.0365833932938045,0.03031841551202774
153915726-153915736-001,0.003430147850298604,0.035757095778468084,0.039407212092202215,0.03232694792816948
153916114-153916129-002,0.00443906685740697,0.045816688014614915,0.0502657381226409,0.041882250038706714
153916114-153916150-001,-0.0023106520104846373,-0.022097517659006694,-0.024483373926980856,-0.019786865648522056
153916114-153916167-001,-0.0011253325429010363,-0.011623370604152972,-0.012786336863893077,-0.010478721685585612
153916569-153916586-001,-0.0039686509656455815,-0.031709643109991914,-0.03588870458533755,-0.027740992144346333
153956040-153956058-001,0.004797234709212339,0.043618588747495024,0.04454152039134884,0.038821354038282685
