cell_id,delta_C_area,delta_C_perimeter,delta_C_full,interaction_C,identity_residual
157184850-157184920-002,0.001929458164001585,0.014599354547831234,0.01656904363373435,4.023092190152955e-05,0.0
157184850-157184942-001,0.013816663230792808,0.03765314485836646,0.05266766397240785,0.001197855883248583,0.0
157185208-157185238-001,0.012170090503895503,0.056785809303774526,0.06892864674253985,0.0010932627204874867,0.0
157185433-157185479-002,0.001105666164276431,0.007837106574536068,0.008932918119339939,9.988151338458096e-06,0.0
157185433-157185479-003,0.0012647039878274091,0.007905274512131188,0.009182203151265944,1.2224651307346512e-05,0.0
157185433-157185479-004,0.001842180510254754,0.012178751807462418,0.0140514810262643,3.054870854712899e-05,0.0
157185433-157185479-006,0.0007132275416658063,0.005681947880546712,0.006594637384881696,5.167889538526538e-06,0.0
157185433-157185508-001,0.0015970728753792462,0.011674445937870925,0.013296157109285112,2.4638296034940055e-05,0.0
157185730-157185758-001,0.0009276833270033258,0.007153359001281612,0.008094390914436922,1.334858615198442e-05,0.0
157185781-157185793-003,0.0,0.0,0.0,0.0,0.0
157222534-157222607-001,0.024113368688579495,0.08006026737921812,0.10539135719745285,0.0026794941266662375,0.0
157222647-157222687-001,0.01168911836933495,0.08932196874207354,0.10186083751594044,0.0015279076923025992,0.0
157222801-157222811-001,0.020756185788481263,0.1249369831961692,0.15087264227318709,0.004089721529528134,0.0
157223549-157223570-001,0.019714490203095902,0.11330585399832305,0.13501027077275174,0.0038186330299549986,0.0
157224412-157224429-001,0.011200759411559735,0.046476800038184884,0.05850422190101667,0.0008266624512720533,0.0
157224458-157224464-001,0.010535579248256988,0.07592125798738258,0.08803472152911196,0.0012417028175507605,0.0
157224458-157224483-001,0.019569968056784792,0.07023294987691653,0.09203268668928222,0.00212827120839143,0.0
157227058-157227087-001,0.001215482008598917,0.005448617770873909,0.006692601703296053,2.850192382322647e-05,0.0
157227461-157227503-003,0.001127529281597317,0.01473653532453767,0.01624778458786902,2.5075949557806787e-05,0.0
157266930-157266947-001,0.001311075926543337,0.010222712514123544,0.011556261428607106,2.247298794022523e-05,0.0
157268504-157268544-001,0.012619491497839141,0.054383824392085556,0.07163440209010963,0.0011557780533067996,0.0
158986766-158986776-001,0.001493108290180234,0.014411986137146116,0.015932430122844732,2.733569551838233e-05,0.0
158986813-158986820-001,0.0,0.0,0.0,0.0,0.0
158986920-158986928-004,0.25976489166176286,-0.11692266637425627,-0.018258486393048834,-0.16110071168055543,2.7755575615628914e-17
204870858-204870872-001,0.0016033598268392346,0.016365163849969333,0.01800374282426187,3.521914745330257e-05,0.0
204870951-204870961-002,0.005338049025605196,0.06834126515786842,0.07452637708214205,0.000847062898668427,0.0
204871030-204871038-001,0.004475016029007461,0.0740940711416912,0.07906359710045419,0.0004945099297555267,0.0
204871030-204871038-002,0.005529539994662103,0.11597561387090727,0.12245792803051447,0.0009552142585930179,0.0
209047342-209047443-001,0.01805180150058061,0.11067776678190966,0.13188427313599982,0.002977877133145568,0.0
209047526-209047626-001,0.012044811232690855,0.07856280915850533,0.09211779826908295,0.0015101778778867647,0.0
209047526-209047798-001,0.01322125188987644,0.057306909779058834,0.07168420884027071,0.0011560471713354392,0.0
209307421-209307504-001,0.015113287524499253,0.11750779420058777,0.13532477774385576,0.0026131277919649865,0.0
209522474-209522522-001,0.013968158360370353,0.10610773086263914,0.12230348329290397,0.0022275940698944785,0.0
209522940-209522970-001,0.015502787467240098,0.11899090425014358,0.13711463674491986,0.0026209449376553007,0.0
209565409-209565503-001,0.013861971760479985,0.09866608928542375,0.11505385719373518,0.0020112182997256145,0.0
209565409-209565600-001,0.00885150874306917,0.06694926462310224,0.07667024433530256,0.0008694709691311475,0.0
209565864-209565890-001,0.016430218897376947,0.14425245644373696,0.1639404092264738,0.0033935526820862982,0.0
209565864-209565911-001,0.013568890317964044,0.09341983502555729,0.1083178318733049,0.0018823399594702916,0.0
209566047-209566095-001,0.014049546853803885,0.12089383723368485,0.136807779729734,0.0024809971919688145,0.0
209566205-209566247-001,0.01615995002625792,0.11544110993925127,0.13405311589074098,0.0027170877537129323,0.0
209566205-209566289-001,0.007169838056784172,0.0467246354377987,0.05444202781611951,0.0005475543215366363,0.0
209566399-209566485-001,0.01112799135121878,0.08455124081193233,0.09704646988635546,0.0013411370590542537,0.0
