cell_id,delta_closing_circularity_ae,delta_null_circularity_ae,delta_specific_circularity_ae,closing_benefit_circularity_ae,null_benefit_circularity_ae
209047526-209047626-001,-0.1013696021760514,-0.01962915548436972,-0.08174044669168168,0.1013696021760514,0.01962915548436972
209047526-209047798-001,-0.07168420884027071,0.016727342192298766,-0.08841155103256948,0.07168420884027071,-0.016727342192298766
209307421-209307504-001,-0.11895976225566463,-0.018003374545667805,-0.10095638770999682,0.11895976225566463,0.018003374545667805
209522474-209522522-001,-0.0711002651292284,-0.0077551593617635195,-0.06334510576746488,0.0711002651292284,0.0077551593617635195
209522940-209522970-001,-0.12712899989825277,-0.0001446688338658797,-0.1269843310643869,0.12712899989825277,0.0001446688338658797
209565409-209565503-001,-0.11505385719373518,-0.015613436479971932,-0.09944042071376324,0.11505385719373518,0.015613436479971932
209565409-209565600-001,-0.05984358999532402,-0.014015315413944407,-0.04582827458137961,0.05984358999532402,0.014015315413944407
209565864-209565890-001,-0.16386872553815646,-0.014626410872673579,-0.14924231466548288,0.16386872553815646,0.014626410872673579
209565864-209565911-001,-0.11505385719373518,-0.006951624222633623,-0.10810223297110155,0.11505385719373518,0.006951624222633623
209566047-209566095-001,-0.13590998432441403,-0.0377476644815381,-0.09816231984287593,0.13590998432441403,0.0377476644815381
209566205-209566247-001,-0.13398853842122949,-0.00735958706585671,-0.12662895135537278,0.13398853842122949,0.00735958706585671
209566205-209566289-001,-0.05902727016248355,-0.001310755230115923,-0.057716514932367624,0.05902727016248355,0.001310755230115923
209566399-209566485-001,-0.09746292011266955,-0.0017105381409425746,-0.09575238197172697,0.09746292011266955,0.0017105381409425746
