cell_id,raw_circularity_signed_bias,closing_benefit_circularity_ae,spearman_rho_all_cells
149143469-149143497-003,0.04550515159099089,-0.023571759804481895,-0.7878561383907071
149146837-149146854-001,0.03712945738047291,-0.003906285408996846,-0.7878561383907071
149181904-149181927-001,-0.0040791762998980685,-0.016350111613263496,-0.7878561383907071
149181904-149181951-001,-0.0004299783091716858,0.01142862390111965,-0.7878561383907071
149182125-149182135-002,0.10839986734685625,-0.00424591428299137,-0.7878561383907071
149182657-149182667-001,0.11838597334360323,-0.02127721804139937,-0.7878561383907071
149182657-149182681-002,-0.022721434587643308,0.005596725690277471,-0.7878561383907071
149182657-149182698-003,0.1648696213793236,-0.01044058947135229,-0.7878561383907071
149185604-149185616-001,-0.08886336657886484,0.013150484288987574,-0.7878561383907071
149185604-149185645-003,0.09780300908370254,-0.0008416012113410254,-0.7878561383907071
149185604-149185657-001,0.08233655787054961,-0.03266620108560314,-0.7878561383907071
149185698-149185709-002,0.010680423174161624,-0.03273646471738889,-0.7878561383907071
149185788-149185824-001,-0.04367716230108487,0.017279716347267993,-0.7878561383907071
149190861-149190868-001,-0.0920340105765658,0.06035362431225577,-0.7878561383907071
149314453-149314465-001,-0.01988527252715333,0.011382860280087725,-0.7878561383907071
149314453-149314507-001,0.024606768890823583,0.0,-0.7878561383907071
149314453-149314507-002,0.016342500593411913,-0.00767019989394091,-0.7878561383907071
149314679-149314698-001,0.04591738724912542,-0.018684734568213623,-0.7878561383907071
149315229-149315310-001,-0.039422997146269845,0.004851435864915876,-0.7878561383907071
149315671-149315731-001,0.002085654821957217,-0.021007647843987676,-0.7878561383907071
149315671-149315740-001,0.05877962056646302,-0.004037143704356372,-0.7878561383907071
149316426-149316462-004,0.12393643936200338,-0.013917534826339617,-0.7878561383907071
149316754-149316779-002,-0.19045639009535564,0.02995920539808139,-0.7878561383907071
149317002-149317010-002,0.0849420428352573,-0.034139781454341045,-0.7878561383907071
149317204-149317230-002,0.1922693845485448,-0.01710026005712273,-0.7878561383907071
149788987-149788996-003,0.011315953408335355,-0.07544611065120199,-0.7878561383907071
153268807-153268826-001,-0.18966224487536165,0.12320650234404551,-0.7878561383907071
153276386-153276405-001,0.13492127902020967,-0.008450489649693083,-0.7878561383907071
153276386-153276405-002,-0.42748063922178375,0.018945052753599312,-0.7878561383907071
153276386-153276414-001,0.0034895710163020954,0.0,-0.7878561383907071
153314466-153314473-003,-0.12569656111790706,0.10345607063229778,-0.7878561383907071
153654869-153654880-001,0.04290760769441915,-0.10490709700292133,-0.7878561383907071
153655016-153655039-005,-0.10088941209823865,0.019158060448042802,-0.7878561383907071
153655087-153655101-002,-0.28394663590905256,0.03302235573182444,-0.7878561383907071
153656862-153656873-001,-0.10511377778911801,0.07004495439971714,-0.7878561383907071
153657121-153657160-001,0.020919663525235777,-0.012371848560307153,-0.7878561383907071
153659229-153659264-001,-0.01863025465205015,0.008525581049171782,-0.7878561383907071
153697342-153697375-001,0.003663426625035049,-0.01567122325659054,-0.7878561383907071
153697342-153697384-001,0.013836923647533084,-0.005414439200907339,-0.7878561383907071
153697726-153697736-001,-0.08180633498532064,0.06490694218077131,-0.7878561383907071
153701009-153701019-002,-0.17099257103572008,0.031839379568536774,-0.7878561383907071
153701622-153701650-001,0.09598891057150716,-0.003848030377896161,-0.7878561383907071
153701949-153701958-001,0.07220697509699703,-0.04383798000743988,-0.7878561383907071
153702037-153702051-003,-0.17186630404940528,0.028112528297706607,-0.7878561383907071
153826963-153826970-001,0.14710440386400514,-0.03423552441222888,-0.7878561383907071
153826963-153826982-003,-0.01335034384096423,-0.008688479159232765,-0.7878561383907071
153827595-153827657-002,0.08841057587411427,-0.00516297336479532,-0.7878561383907071
153828877-153828902-002,0.024972657332049453,-0.0072900760909374585,-0.7878561383907071
153828952-153828970-001,-0.03952680736998904,0.02113054013417137,-0.7878561383907071
153828952-153829005-001,-0.012486354069833894,-0.03405250310882757,-0.7878561383907071
153828952-153829005-002,-0.029440581290671286,0.005555443406104477,-0.7878561383907071
153829664-153829672-001,-0.060270406027360224,-0.005680335217120858,-0.7878561383907071
153829745-153829768-001,-0.46807736752089196,0.06366449968544052,-0.7878561383907071
153829745-153829768-003,-0.043888791740677946,0.02905614531140277,-0.7878561383907071
153830680-153830827-002,-0.03188387848286356,0.01822879591854032,-0.7878561383907071
