cell_id,class,model,seed,raw_perimeter,closing_perimeter,null_perimeter,delta_perimeter_closing,delta_perimeter_null,delta_area_closing,delta_area_null,abs_delta_area_closing_minus_null,closing_fallback_to_raw,null_target_reduction,null_achieved_reduction,null_matching_error_abs,null_matching_error_pct,null_raw_fallback,null_within_tolerance
153916114-153916150-001,carcinoma_in_situ,nc_aware_lambda_0p10,20260803,233.48022866249084,229.37972366809845,231.03657805919647,-4.100504994392395,-2.4436506032943726,7,-67,74,False,4.100504994392395,2.4436506032943726,1.6568543910980225,0.40406105915340607,False,False
153916114-153916167-001,carcinoma_in_situ,nc_aware_lambda_0p10,20260803,229.68123924732208,227.92387974262238,227.92387926578522,-1.757359504699707,-1.7573599815368652,3,-26,29,False,1.757359504699707,1.7573599815368652,4.76837158203125e-07,2.7133728581313e-07,False,True
153916569-153916586-001,carcinoma_in_situ,nc_aware_lambda_0p10,20260803,214.89444208145142,210.79393708705902,210.55129647254944,-4.100504994392395,-4.3431456089019775,7,-35,42,False,4.100504994392395,4.3431456089019775,0.24264061450958252,0.059173349341459965,False,True
153956040-153956058-001,normal_columnar,nc_aware_lambda_0p10,20260803,176.4680359363556,169.19595789909363,173.6812390089035,-7.272078037261963,-2.7867969274520874,15,-34,49,False,7.272078037261963,2.7867969274520874,4.4852811098098755,0.6167812125815203,False,False
153956040-153956058-003,normal_columnar,nc_aware_lambda_0p10,20260803,196.36753070354462,195.19595754146576,195.19595777988434,-1.1715731620788574,-1.1715729236602783,6,-5,11,False,1.1715731620788574,1.1715729236602783,2.384185791015625e-07,2.0350293675088025e-07,False,True
153956040-153956072-003,normal_columnar,nc_aware_lambda_0p10,20260803,175.2964632511139,172.3675308227539,173.53910326957703,-2.9289324283599854,-1.7573599815368652,5,-21,26,False,2.9289324283599854,1.7573599815368652,1.1715724468231201,0.3999998209173865,False,False
153956444-153956458-004,normal_columnar,nc_aware_lambda_0p10,20260803,187.53910386562347,180.02438485622406,183.82337415218353,-7.514719009399414,-3.7157297134399414,10,-76,86,False,7.514719009399414,3.7157297134399414,3.7989892959594727,0.5055397668505895,False,False
153958154-153958211-001,normal_columnar,nc_aware_lambda_0p10,20260803,248.0660150051117,255.03657698631287,244.35028636455536,6.970561981201172,-3.7157286405563354,15,-248,263,False,6.970561981201172,3.7157286405563354,3.2548333406448364,0.4669398750664235,False,False
153958547-153958572-002,normal_columnar,nc_aware_lambda_0p10,20260803,132.46803617477417,131.8822499513626,131.88224959373474,-0.5857862234115601,-0.5857865810394287,1,-9,10,False,0.5857862234115601,0.5857865810394287,3.5762786865234375e-07,6.105091829738757e-07,False,True
153958547-153958572-006,normal_columnar,nc_aware_lambda_0p10,20260803,133.88224947452545,133.29646289348602,133.29646277427673,-0.5857865810394287,-0.5857867002487183,1,-13,14,False,0.5857865810394287,0.5857867002487183,1.1920928955078125e-07,2.0350293675088025e-07,False,True
