cell_id,class,model,delta_closing_circularity_ae,delta_null_circularity_ae,delta_specific_circularity_ae,delta_closing_perimeter_ae,delta_null_perimeter_ae,delta_specific_perimeter_ae,delta_closing_nc_ae,delta_null_nc_ae,delta_specific_nc_ae,delta_closing_area_ae,delta_null_area_ae,delta_specific_area_ae,delta_closing_nucleus_dice,delta_null_nucleus_dice,delta_specific_nucleus_dice,delta_closing_foreground_dice,delta_null_foreground_dice,delta_specific_foreground_dice,closing_benefit_circularity_ae,null_benefit_circularity_ae,raw_circularity_signed_bias,roundness_group,raw_invalid_rate,closing_invalid_rate,null_invalid_rate
149056321-149056360-001,severe_dysplastic,baseline,-0.01337765494833787,-0.005675098236473719,-0.00770255671186415,-2.2426410913467407,-2.4436510801315308,0.20100998878479004,0.005577221348649575,-0.046857244721546176,0.05243446607019575,8.0,-69.0,77.0,-0.001314300832776838,0.011110686880177356,-0.012424987712954194,-0.0014419075927020186,0.0014866839153706568,-0.0029285915080726754,0.01337765494833787,0.005675098236473719,0.08996678077585618,over_circular,0.0,0.0,0.0
149056410-149056458-001,severe_dysplastic,baseline,0.00796861218933742,0.006688612769319868,0.0012799994200175524,-0.585785984992981,-0.8284270763397217,0.24264109134674072,0.0012071715338503042,-0.0012056597348097942,0.0024128312686600983,1.0,-14.0,15.0,0.0,0.00434547601098112,-0.00434547601098112,-0.00032972377528295294,0.0003297562671604748,-0.0006594800424434277,-0.00796861218933742,-0.006688612769319868,0.05458161539692552,over_circular,0.0,0.0,0.0
149056873-149056884-001,severe_dysplastic,baseline,0.025605156525303818,0.0032218215422300522,0.022383334983073766,2.343145728111267,2.3431458473205566,-1.1920928955078125e-07,-0.002497324148473812,0.04096366425133546,-0.043460988399809275,-6.0,50.0,-56.0,-0.0005161816642530459,-0.008664853954628016,0.00814867229037497,-3.391735707447552e-05,-0.0005285069389191488,0.0004945895818446733,-0.025605156525303818,-0.0032218215422300522,0.008012873460987557,over_circular,0.0,0.0,0.0
149056873-149056884-002,severe_dysplastic,baseline,-0.0127950262573292,0.008473249438916475,-0.021268275696245675,1.1715730428695679,1.4142130613327026,-0.24264001846313477,-0.001735000433750078,0.02729574710922944,-0.029030747542979518,-2.0,32.0,-34.0,0.0006784814344321655,-0.010976085827735571,0.011654567262167737,0.0005462486092091545,-0.008768357803482396,0.00931460641269155,0.0127950262573292,-0.008473249438916475,-0.01636056945126252,under_circular,0.0,0.0,0.0
149056933-149056982-002,severe_dysplastic,baseline,0.008141057504104099,-0.002776621411204494,0.010917678915308593,0.5857865810394287,0.5857868194580078,-2.384185791015625e-07,-0.0005350970868212568,0.0010689789645126346,-0.0016040760513338914,2.0,-15.0,17.0,0.0004613143090805849,-0.0009238631792024554,0.0013851774882830403,-0.0006233522743638309,0.0027921067176432945,-0.0034154589920071254,-0.008141057504104099,0.002776621411204494,0.0308958036464827,over_circular,0.0,0.0,0.0
149057756-149057766-002,moderate_dysplastic,baseline,0.00725532801596529,-0.007880204271607849,0.015135532287573139,-2.8873047828674316,-2.0000014305114746,-0.887303352355957,-0.0014046172204086327,0.010823174103712807,-0.01222779132412144,7.0,-32.0,39.0,-0.0001722130805826838,0.0032937749215216083,-0.003465988002104292,-1.196806350367563e-05,0.002520101711307454,-0.00253206977481113,-0.00725532801596529,0.007880204271607849,0.005779974814204114,over_circular,0.0,0.0,0.0
149057756-149057788-002,moderate_dysplastic,baseline,0.21497465079563294,-0.0027646419081701623,0.2177392927038031,78.12489020824432,-1.473088026046753,79.59797823429108,-0.0035848405083520607,0.031680076485734565,-0.035264916994086626,-24.0,-152.0,128.0,0.0012131697442073763,-0.00567118454985871,0.006884354294066086,0.0008825156306339066,-0.004985250528364404,0.005867766158998311,-0.21497465079563294,0.0027646419081701623,-0.0927277129966243,under_circular,0.0,0.0,0.0
149057812-149057825-003,moderate_dysplastic,baseline,-0.035869145148897164,-0.001754561841981861,-0.0341145833069153,-12.30151629447937,-3.63247013092041,-8.66904616355896,0.002333231425167559,0.006691840067110599,-0.00435860864194304,21.0,-133.0,154.0,-0.0018529365111263907,0.011128843765908503,-0.012981780277034893,-0.0014648417087169685,0.009117651421685524,-0.010582493130402493,0.035869145148897164,0.001754561841981861,-0.054007002718621355,under_circular,0.0,0.0,0.0
149057812-149057825-005,moderate_dysplastic,baseline,0.0063244795224968176,-0.008613513471542045,0.014937992994038862,0.0,0.0,0.0,-0.0001879342447492216,0.006543802610255722,-0.006731736855004944,-2.0,35.0,-37.0,0.0,0.0,0.0,0.00015303481618866854,0.000360857592498931,-0.00020782277631026247,-0.0063244795224968176,0.008613513471542045,0.05220223596786755,over_circular,0.0,0.0,0.0
149057812-149057847-004,moderate_dysplastic,baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00024367534946911906,0.0020812360440354283,-0.0023249113935045473,0.0,0.0,0.036199668126367546,over_circular,0.0,0.0,0.0
