split,cell_id,class,seed,model,degradation,severity,clean_foreground_dice,degraded_foreground_dice,delta_foreground_dice,clean_nucleus_dice,degraded_nucleus_dice,delta_nucleus_dice,clean_cytoplasm_dice,degraded_cytoplasm_dice,delta_cytoplasm_dice,clean_nc_absolute_error,degraded_nc_absolute_error,delta_nc_absolute_error,clean_circularity_absolute_error,degraded_circularity_absolute_error,delta_circularity_absolute_error,clean_nucleus_area_absolute_error,degraded_nucleus_area_absolute_error,delta_nucleus_area_absolute_error,clean_cytoplasm_area_absolute_error,degraded_cytoplasm_area_absolute_error,delta_cytoplasm_area_absolute_error
calibration,149147060-149147075-003,carcinoma_in_situ,20260803,baseline,gaussian_blur,3,0.85913535491933,0.8612238856988712,0.0020885307795411867,0.9635220125786164,0.9575411913814955,-0.005980821197120845,0.7547486972600437,0.764906580016247,0.01015788275620333,0.24397044960657976,0.3147517411422134,0.07078129153563362,0.030244455129330272,0.047408346828416215,0.017163891699085942,102,150,48,577,783,206
calibration,149185497-149185527-003,carcinoma_in_situ,20260803,baseline,gaussian_noise,10,0.7660304838467203,0.7565542007682147,-0.009476283078505676,0.948306595365419,0.9325131174235571,-0.01579347794186181,0.5837543723280217,0.5805952841128721,-0.0031590882151496524,2.2648840419342697,2.3224897280043466,0.05760568607007688,0.058879972047463536,0.029777989854549824,-0.02910198219291371,278,361,83,1005,1019,14
calibration,149185604-149185657-002,carcinoma_in_situ,20260803,baseline,gaussian_blur,1,0.8147381218170877,0.8142260762178343,-0.0005120455992534412,0.9677353062063296,0.9675825872182773,-0.00015271898805235828,0.6617409374278458,0.6608695652173913,-0.0008713722104545241,1.0417057467681092,1.074104382615021,0.032398635846911716,0.10026517930884904,0.1068477303919525,0.006582551083103461,20,35,15,947,986,39
calibration,149185604-149185657-002,carcinoma_in_situ,20260803,baseline,gaussian_blur,2,0.8147381218170877,0.8129117363065084,-0.0018263855105793425,0.9677353062063296,0.9666356781324243,-0.00109962807390529,0.6617409374278458,0.6591877944805923,-0.002553142947253506,1.0417057467681092,1.1440028385894263,0.10229709182131708,0.10026517930884904,0.10420650633589157,0.003941327027042529,20,71,51,947,1073,126
calibration,149185604-149185657-002,carcinoma_in_situ,20260803,baseline,gaussian_blur,3,0.8147381218170877,0.8107390328705645,-0.003999088946523233,0.9677353062063296,0.9644859813084112,-0.003249324897918404,0.6617409374278458,0.6569920844327177,-0.004748852995128061,1.0417057467681092,1.2172308639767964,0.17552511720868713,0.10026517930884904,0.10026955837709683,4.379068247795104e-06,20,122,102,947,1164,217
calibration,149315671-149315740-003,carcinoma_in_situ,20260803,baseline,gaussian_blur,1,0.7259984700219935,0.7240487269653924,-0.0019497430566011165,0.9410480349344978,0.9377396384882235,-0.003308396446274342,0.5109489051094891,0.5103578154425612,-0.0005910896669278909,1.9155253712097153,1.94226047251852,0.026735101308804632,0.005728818150948833,0.03118268986720829,0.025453871716259457,310,329,19,1271,1306,35
calibration,149315671-149315740-003,carcinoma_in_situ,20260803,baseline,gaussian_blur,2,0.7259984700219935,0.7164535494525377,-0.009544920569455773,0.9410480349344978,0.9277019549981557,-0.013346079936342181,0.5109489051094891,0.5052051439069197,-0.005743761202569364,1.9155253712097153,2.0053228078520338,0.08979743664231843,0.005728818150948833,0.06766155152357312,0.06193273337262428,310,384,74,1271,1386,115
calibration,149315671-149315740-004,carcinoma_in_situ,20260803,baseline,gaussian_blur,2,0.5624536196787954,0.55728926245459,-0.005164357224205385,0.8593363051015354,0.8534906588003933,-0.005845646301142038,0.2655709342560554,0.2610878661087866,-0.004483068147268787,1.5418568219995092,1.5835948773448774,0.04173805534536812,0.11718782051844545,0.04626364581559217,-0.07092417470285328,424,454,30,1052,1130,78
calibration,149315671-149315740-004,carcinoma_in_situ,20260803,baseline,gaussian_blur,3,0.5624536196787954,0.5613826852819572,-0.0010709343968381413,0.8593363051015354,0.8545319832057298,-0.004804321895805597,0.2655709342560554,0.26823338735818475,0.0026624531021293696,1.5418568219995092,1.6484498333246973,0.10659301132518806,0.11718782051844545,0.10072707828650684,-0.016460742231938608,424,435,11,1052,1208,156
calibration,149315775-149315790-001,carcinoma_in_situ,20260803,baseline,gaussian_blur,2,0.86329525416624,0.8558640042672603,-0.007431249898979697,0.9760266833437565,0.97098726779378,-0.005039415549976556,0.7505638249887235,0.7407407407407407,-0.009823084247982838,0.19391005595786692,0.23603404034786124,0.04212398438999432,0.10980473092080789,0.13327894223632175,0.02347421131551386,79,73,-6,466,568,102
