family,split,seed,model,degradation,metric,expected_direction,values_by_severity,trend_label,target
conformal,test,20260803,nc_aware_lambda_0p10,gaussian_noise,coverage_gap,decrease,-0.0813187|-0.11978|-0.240659,fully_monotonic,circularity
conformal,test,20260803,nc_aware_lambda_0p10,gaussian_noise,interval_mean_width,increase,0.476954|0.476954|0.476954,partially_monotonic,circularity
conformal,test,20260803,nc_aware_lambda_0p10,gaussian_noise,invalid_rate,increase,0.0108696|0.0108696|0.0108696,partially_monotonic,circularity
conformal,test,20260804,baseline,gaussian_blur,empirical_coverage,decrease,0.896739|0.891304|0.88587,fully_monotonic,nc
conformal,test,20260804,baseline,gaussian_blur,coverage_gap,decrease,-0.00326087|-0.00869565|-0.0141304,fully_monotonic,nc
conformal,test,20260804,baseline,gaussian_blur,interval_mean_width,increase,1.25267|1.25267|1.25267,partially_monotonic,nc
conformal,test,20260804,baseline,gaussian_blur,invalid_rate,increase,0|0|0,partially_monotonic,nc
conformal,test,20260804,baseline,gaussian_noise,empirical_coverage,decrease,0.88587|0.88587|0.858696,partially_monotonic,nc
conformal,test,20260804,baseline,gaussian_noise,coverage_gap,decrease,-0.0141304|-0.0141304|-0.0413043,partially_monotonic,nc
conformal,test,20260804,baseline,gaussian_noise,interval_mean_width,increase,1.25267|1.25267|1.25267,partially_monotonic,nc
conformal,test,20260804,baseline,gaussian_noise,invalid_rate,increase,0|0|0,partially_monotonic,nc
conformal,test,20260804,baseline,gaussian_blur,empirical_coverage,decrease,0.902174|0.896739|0.885246,fully_monotonic,circularity
conformal,test,20260804,baseline,gaussian_blur,coverage_gap,decrease,0.00217391|-0.00326087|-0.0147541,fully_monotonic,circularity
conformal,test,20260804,baseline,gaussian_blur,interval_mean_width,increase,0.499222|0.499222|0.499222,partially_monotonic,circularity
conformal,test,20260804,baseline,gaussian_blur,invalid_rate,increase,0|0|0.00543478,partially_monotonic,circularity
conformal,test,20260804,baseline,gaussian_noise,empirical_coverage,decrease,0.880435|0.820652|0.586957,fully_monotonic,circularity
conformal,test,20260804,baseline,gaussian_noise,coverage_gap,decrease,-0.0195652|-0.0793478|-0.313043,fully_monotonic,circularity
conformal,test,20260804,baseline,gaussian_noise,interval_mean_width,increase,0.499222|0.499222|0.499222,partially_monotonic,circularity
conformal,test,20260804,baseline,gaussian_noise,invalid_rate,increase,0|0|0,partially_monotonic,circularity
conformal,test,20260804,nc_aware_lambda_0p10,gaussian_blur,empirical_coverage,decrease,0.847826|0.847826|0.853261,partially_monotonic,nc
conformal,test,20260804,nc_aware_lambda_0p10,gaussian_blur,coverage_gap,decrease,-0.0521739|-0.0521739|-0.0467391,partially_monotonic,nc
conformal,test,20260804,nc_aware_lambda_0p10,gaussian_blur,interval_mean_width,increase,1.23976|1.23976|1.23976,partially_monotonic,nc
