seed,model,target,degradation,severity,nominal_coverage,clean_coverage,empirical_coverage,coverage_gap,coverage_delta_vs_clean,below_nominal,frozen_quantile
20260805,nc_aware_lambda_0p10,nc,gaussian_noise,10.0,0.9,0.8858695652173914,0.875,-0.025000000000000022,-0.010869565217391353,True,0.7192721371259566
20260805,nc_aware_lambda_0p10,nc,gaussian_noise,20.0,0.9,0.8858695652173914,0.8478260869565217,-0.05217391304347829,-0.03804347826086962,True,0.7192721371259566
20260805,nc_aware_lambda_0p10,nc,gaussian_noise,30.0,0.9,0.8858695652173914,0.7445652173913043,-0.1554347826086957,-0.14130434782608703,True,0.7192721371259566
20260805,nc_aware_lambda_0p10,circularity,clean,clean,0.9,0.8633879781420765,0.8633879781420765,-0.03661202185792356,0.0,True,0.2738757777168169
20260805,nc_aware_lambda_0p10,circularity,gaussian_blur,1.0,0.9,0.8633879781420765,0.9016393442622951,0.0016393442622950616,0.03825136612021862,False,0.2738757777168169
20260805,nc_aware_lambda_0p10,circularity,gaussian_blur,2.0,0.9,0.8633879781420765,0.907103825136612,0.0071038251366120075,0.04371584699453557,False,0.2738757777168169
20260805,nc_aware_lambda_0p10,circularity,gaussian_blur,3.0,0.9,0.8633879781420765,0.8961748633879781,-0.0038251366120218844,0.032786885245901676,True,0.2738757777168169
20260805,nc_aware_lambda_0p10,circularity,gaussian_noise,10.0,0.9,0.8633879781420765,0.825136612021858,-0.07486338797814207,-0.03825136612021851,True,0.2738757777168169
20260805,nc_aware_lambda_0p10,circularity,gaussian_noise,20.0,0.9,0.8633879781420765,0.6939890710382514,-0.20601092896174866,-0.1693989071038251,True,0.2738757777168169
20260805,nc_aware_lambda_0p10,circularity,gaussian_noise,30.0,0.9,0.8633879781420765,0.47305389221556887,-0.42694610778443115,-0.3903340859265076,True,0.2738757777168169
