split,seed,model,degradation,severity,foreground_dice,nucleus_dice,cytoplasm_dice,mean_nc_absolute_error,median_nc_absolute_error,mean_circularity_absolute_error,invalid_nc_rate,invalid_circularity_rate
calibration,20260805,baseline,gaussian_noise,30,0.8134574695606416,0.8747768825292214,0.7521380565920613,0.2794488559037985,0.08868874302916646,0.2019459837206224,0.0,0.0
calibration,20260805,nc_aware_lambda_0p10,clean,clean,0.8246138649265095,0.8791616870246546,0.7700660428283645,0.24821117908844656,0.07705911299263901,0.1310523871616787,0.0,0.0
calibration,20260805,nc_aware_lambda_0p10,gaussian_blur,1,0.8267944002178179,0.8815287302800734,0.7720600701555622,0.24659419904511456,0.08554717069803242,0.12296832156601711,0.0,0.0
calibration,20260805,nc_aware_lambda_0p10,gaussian_blur,2,0.8278243154843953,0.8827185504518722,0.7729300805169186,0.25030154743202715,0.0872499024103538,0.11623341390730632,0.0,0.0
calibration,20260805,nc_aware_lambda_0p10,gaussian_blur,3,0.8263280730810211,0.8815024197740537,0.7711537263879884,0.2624785887581184,0.08993117999330491,0.11490437133421247,0.0,0.0
calibration,20260805,nc_aware_lambda_0p10,gaussian_noise,10,0.8149388222777538,0.8668676803848606,0.7630099641706471,0.272092819729365,0.07994582254809457,0.14542392196168957,0.0,0.0
calibration,20260805,nc_aware_lambda_0p10,gaussian_noise,20,0.7686335328864956,0.8027917572402501,0.7344753085327415,0.3521322397324619,0.09831379545299812,0.21474456735222888,0.0,0.0
calibration,20260805,nc_aware_lambda_0p10,gaussian_noise,30,0.6031452990976999,0.5418603434581312,0.6644302547372682,0.537708432773142,0.26615768971738774,0.31891978454460956,0.0,0.07103825136612021
test,20260803,baseline,clean,clean,0.8014072099611532,0.8469683327383954,0.7558460871839104,0.3160617128987805,0.12032019765983634,0.14022004451398964,0.0,0.010869565217391304
test,20260803,baseline,gaussian_blur,1,0.7994806604853771,0.8459731111134665,0.7529882098572876,0.3221841658308381,0.12885081398656056,0.13790243942908942,0.0,0.010869565217391304
test,20260803,baseline,gaussian_blur,2,0.7954776279940391,0.843393395948081,0.7475618600399975,0.331006613472685,0.12947084142366808,0.13045126571219753,0.0,0.010869565217391304
test,20260803,baseline,gaussian_blur,3,0.789820853567381,0.8392702689160856,0.7403714382186762,0.3409158996959423,0.13920116454098672,0.1285246642338839,0.0,0.005434782608695652
test,20260803,baseline,gaussian_noise,10,0.8032705799783615,0.845997880410437,0.760543279546286,0.30872082795651296,0.11008160376221757,0.13611540979611714,0.0,0.010869565217391304
test,20260803,baseline,gaussian_noise,20,0.7783124394733234,0.806295537883306,0.750329341063341,0.3375222394757017,0.14983851127725495,0.21950811006948193,0.0,0.016304347826086956
test,20260803,baseline,gaussian_noise,30,0.6874589243203897,0.674594000723474,0.7003238479173056,0.45107565054483423,0.19517694478317743,0.323587326172748,0.0,0.03260869565217391
test,20260803,nc_aware_lambda_0p10,clean,clean,0.8142844728878987,0.8656374967231735,0.7629314490526239,0.34197697100981683,0.14272568086981177,0.14065447638881365,0.0,0.010869565217391304
test,20260803,nc_aware_lambda_0p10,gaussian_blur,1,0.8132542365116112,0.8636321511852769,0.7628763218379454,0.33576125194514234,0.1437557986505465,0.13961893372610218,0.0,0.010869565217391304
test,20260803,nc_aware_lambda_0p10,gaussian_blur,2,0.809947714228415,0.8582289976331089,0.7616664308237212,0.3251341558712926,0.14312515801560072,0.13568523666021656,0.0,0.010869565217391304
test,20260803,nc_aware_lambda_0p10,gaussian_blur,3,0.803434010327944,0.8495655250690696,0.7573024955868185,0.328198689823465,0.1392568940264961,0.13186917940028267,0.0,0.010869565217391304
test,20260803,nc_aware_lambda_0p10,gaussian_noise,10,0.8138169095773936,0.8658351927124943,0.7617986264422929,0.33570661601642865,0.1453288405304463,0.14713467797245905,0.0,0.010869565217391304
test,20260803,nc_aware_lambda_0p10,gaussian_noise,20,0.8107962612907101,0.8632957840714863,0.7582967385099342,0.3263360123623126,0.14464688511676363,0.17260158364229375,0.0,0.010869565217391304
test,20260803,nc_aware_lambda_0p10,gaussian_noise,30,0.7954825996398012,0.8462036906477717,0.7447615086318303,0.3419399577577542,0.14706044739848334,0.2235175455900378,0.0,0.010869565217391304
test,20260804,baseline,clean,clean,0.8325367470029156,0.8855583293201863,0.7795151646856447,0.2569489289523365,0.09116126049720738,0.12051870651056756,0.0,0.0
test,20260804,baseline,gaussian_blur,1,0.8328708781712947,0.8846402896979212,0.7811014666446685,0.2570355937851144,0.0951814961325122,0.11720574701534614,0.0,0.0
test,20260804,baseline,gaussian_blur,2,0.8307022422759559,0.8804301988317045,0.7809742857202072,0.26188035910388036,0.11179572975294336,0.1135916120145775,0.0,0.0
