sample_id,parent_source_id,diagnostic_class,model,seed_aggregation,n_seed_rows,nucleus_dice,cytoplasm_dice,foreground_dice,cell_dice,area_ae,perimeter_ae,circularity_ae,nc_ae,invalid_prediction,invalid_circularity,invalid_nc
Superficial-Intermediate__081_05,Superficial-Intermediate__081,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.6742316784869976,0.9506483584695875,0.8096011767807394,0.9624991709225973,430.0,10.02438473701477,0.1763655272760809,0.004164076229784406,0.0,0.0,0.0
Superficial-Intermediate__081_06,Superficial-Intermediate__081,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.634054054054054,0.9464121669898948,0.7902331105219744,0.9528175374257642,1264.0,15.188818216323853,0.18460844488642525,0.011645624338234458,0.0,0.0,0.0
Superficial-Intermediate__082_01,Superficial-Intermediate__082,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.8499765588373184,0.9594979248540052,0.9047372418456618,0.9631577525418539,144.0,26.11775028705597,0.15495235074924418,0.002145418256898013,0.0,0.0,0.0
Superficial-Intermediate__082_02,Superficial-Intermediate__082,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.9170695425808851,0.9686106825027188,0.9353156348083551,0.9705143164886455,135.0,12.845671534538269,0.17412642341134776,0.0017382735657387252,0.0,0.0,0.0
Superficial-Intermediate__082_03,Superficial-Intermediate__082,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.43601895734597157,0.8736785455805121,0.6548487514632418,0.8851960438437488,1363.0,6.644662141799927,0.18185791251380823,0.014812380079115084,0.0,0.0,0.0
Superficial-Intermediate__082_04,Superficial-Intermediate__082,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.8240302743614002,0.8643525055871202,0.8402452986184312,0.8682275276116411,303.0,10.9116872549057,0.09347647762586964,0.004429887222792653,0.0,0.0,0.0
Superficial-Intermediate__082_05,Superficial-Intermediate__082,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.5786889979786313,0.86454520193783,0.7259253557906278,0.878641033322173,284.0,17.53910529613495,0.20623700080647378,0.008168603795186566,0.0,0.0,0.0
Superficial-Intermediate__082_06,Superficial-Intermediate__082,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.8719723183391004,0.902287806456833,0.8721440265071928,0.9045855396842875,50.0,19.573593854904175,0.14822136102204064,0.0013832024265393907,0.0,0.0,0.0
Superficial-Intermediate__082_07,Superficial-Intermediate__082,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.3733084461035931,0.8304096834264432,0.6020720671797141,0.8620194725053709,2650.0,114.3015159368515,0.42757156861885187,0.05892315802541191,0.0,0.0,0.0
Superficial-Intermediate__083_01,Superficial-Intermediate__083,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.6010394374808927,0.8735463526080381,0.747349253409488,0.8918431500244217,1259.0,37.33095359802246,0.19739668558473966,0.013176941588337094,0.0,0.0,0.0
Superficial-Intermediate__083_02,Superficial-Intermediate__083,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.6535742340926944,0.8670510283108166,0.7606617984554118,0.8749917294725509,252.0,7.49747371673584,0.16779456529101355,0.0032739102862292258,0.0,0.0,0.0
Superficial-Intermediate__083_03,Superficial-Intermediate__083,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.5636931620964942,0.7990461919033348,0.671271017596096,0.8112956500426008,1268.0,38.05887460708618,0.21932393030444508,0.015108943823840445,0.0,0.0,0.0
