accepted_edit_count,area_matching_error_abs,area_matching_error_norm,closing_area_ae,closing_benefit,closing_circularity_ae,closing_fallback_to_raw,closing_foreground_dice,closing_nc_ae,closing_nucleus_dice,closing_perimeter_ae,closing_specific_residual,diagnostic_class,fallback_to_raw,invalid_proposal_count,joint_matching_error,model,null_area_ae,null_benefit,null_circularity_ae,null_dA,null_dP,null_foreground_dice,null_nc_ae,null_nucleus_dice,null_perimeter_ae,parent_source_id,perimeter_matching_error_abs,perimeter_matching_error_norm,raw_area_ae,raw_circularity_ae,raw_foreground_dice,raw_nc_ae,raw_nucleus_dice,raw_perimeter_ae,sample_id,seed,sum_matching_error,target_dA,target_dP,valid_proposal_count
0,0.0,0.0,1837,nan,nan,True,0.0,nan,0.0,nan,nan,Dyskeratotic,True,2048,0.0,baseline,1837,nan,nan,0.0,nan,0.0,nan,0.0,nan,Dyskeratotic__002,nan,nan,1837,nan,0.0,nan,0.0,nan,Dyskeratotic__002_08,20260803,nan,0.0,nan,0
18,0.0,0.0,34,0.0016363364937670433,0.0057445179782125155,False,0.789617717644916,0.3204845295903578,0.9557713052858684,0.9289325475692749,4.834947886500629e-09,Dyskeratotic,False,0,3.703409515408346e-08,baseline,34,0.0016363316588191568,0.005744522813160402,2.0,-1.171573519706726,0.7905534455180623,0.3204845295903578,0.9568500539374326,0.9289320707321167,Dyskeratotic__002,4.76837158203125e-07,3.703409515408346e-08,32,0.007380854471979559,0.7896803743960836,0.3185764547392652,0.9557474365893146,2.1005055904388428,Dyskeratotic__002_08,20260804,3.703409515408346e-08,2.0,-1.1715730428695679,2048
27,0.0,0.0,179,0.0006735022038091287,0.010214081895951521,False,0.8239971546627194,0.0374983957941919,0.9316165951359084,9.313707947731018,5.1833705105863714e-09,Dyskeratotic,False,0,3.81622540251136e-08,baseline,179,0.0006734970204386181,0.010214087079322032,3.0,-1.757359504699707,0.8258149341197021,0.0374983957941919,0.9339055793991416,9.313708424568176,Dyskeratotic__002,4.76837158203125e-07,3.81622540251136e-08,182,0.01088758409976065,0.8238120510792598,0.03911277097342958,0.9312714776632303,7.556348919868469,Dyskeratotic__002_08,20260805,3.81622540251136e-08,3.0,-1.7573590278625488,2048
0,0.0,0.0,1101,0.0,0.3889407072986902,False,0.22534031769740548,0.9313680598318939,0.4442200908632004,43.11269783973694,0.0,Dyskeratotic,False,0,0.0,baseline,1101,0.0,0.3889407072986902,0.0,0.0,0.22534031769740548,0.9313680598318939,0.4442200908632004,43.11269783973694,Dyskeratotic__002,0.0,0.0,1101,0.3889407072986902,0.22534031769740548,0.9313680598318939,0.4442200908632004,43.11269783973694,Dyskeratotic__002_09,20260803,0.0,0.0,0.0,2048
0,0.0,0.0,389,0.0,0.04963425816630429,False,0.530047131857583,0.20140254958640796,0.8555514296323803,24.970561861991882,0.0,Dyskeratotic,False,0,0.0,baseline,389,0.0,0.04963425816630429,0.0,0.0,0.530047131857583,0.20140254958640796,0.8555514296323803,24.970561861991882,Dyskeratotic__002,0.0,0.0,389,0.04963425816630429,0.530047131857583,0.20140254958640796,0.8555514296323803,24.970561861991882,Dyskeratotic__002_09,20260804,0.0,0.0,0.0,2048
11,0.0,0.0,276,-0.008358535725877525,0.047360136261653585,False,0.7736233944909188,0.02488752447965681,0.9016393442622951,18.485280752182007,8.996222988777447e-09,Dyskeratotic,False,0,6.162548359119979e-08,baseline,276,-0.008358544722100514,0.047360145257876574,1.0,-0.585787296295166,0.7736233944909188,0.02488752447965681,0.9016393442622951,18.485281467437744,Dyskeratotic__002,7.152557373046875e-07,6.162548359119979e-08,277,0.03900160053577606,0.7734000511903273,0.0251071377499546,0.9012477718360071,17.899494171142578,Dyskeratotic__002_09,20260805,6.162548359119979e-08,1.0,-0.5857865810394287,2048
0,0.0,0.0,426,0.0,0.3313775445052906,False,0.46921642588511797,0.06730015056739794,0.6661442006269592,10.928932666778564,0.0,Dyskeratotic,False,0,0.0,baseline,426,0.0,0.3313775445052906,0.0,0.0,0.46921642588511797,0.06730015056739794,0.6661442006269592,10.928932666778564,Dyskeratotic__002,0.0,0.0,426,0.3313775445052906,0.46921642588511797,0.06730015056739794,0.6661442006269592,10.928932666778564,Dyskeratotic__002_10,20260803,0.0,0.0,0.0,2048
13,0.0,0.0,64,-0.033705282809817994,0.06812684295301663,False,0.8434167445170041,0.08005416745927516,0.9426129426129426,8.585786819458008,0.0011676560617237541,Dyskeratotic,False,0,2.321234759977275e-08,baseline,64,-0.03487293887154175,0.06929449901474038,3.0,-1.7573593854904175,0.8419484939450325,0.08005416745927516,0.9401709401709402,8.585786581039429,Dyskeratotic__002,2.384185791015625e-07,2.321234759977275e-08,67,0.03442156014319864,0.8430439094148183,0.08080489389102133,0.9418960244648318,6.828427195549011,Dyskeratotic__002_10,20260804,2.321234759977275e-08,3.0,-1.7573596239089966,2048
16,0.0,0.0,863,0.009165213956611296,0.17159765368651647,False,0.6360524181499979,0.1824015395705619,0.6362573099415205,68.7695517539978,-0.0007663490823581753,Dyskeratotic,False,0,3.531962124534785e-08,baseline,863,0.009931563038969471,0.1708313046041583,2.0,-1.171573519706726,0.6356625546022396,0.1824015395705619,0.6354775828460039,68.76955127716064,Dyskeratotic__002,4.76837158203125e-07,3.531962124534785e-08,861,0.18076286764312777,0.6363498750408623,0.1816820390581865,0.6367538041357784,69.94112479686737,Dyskeratotic__002_10,20260805,3.531962124534785e-08,2.0,-1.1715730428695679,2048
0,0.0,0.0,1761,nan,nan,True,0.0,nan,0.0,nan,nan,Dyskeratotic,True,2048,0.0,baseline,1761,nan,nan,0.0,nan,0.0,nan,0.0,nan,Dyskeratotic__003,nan,nan,1761,nan,0.0,nan,0.0,nan,Dyskeratotic__003_01,20260803,nan,0.0,nan,0
